,rxn_id,SMIRKS,condition,class_I,class_II,two_reacs,one_rad,not_spectator,rxn_smiles,HAT,elem_surrogate,no_paton_data,specific_rxn,formal_charges
0,293,"[H:4][CH2:3][C:2](=[CH2:1])[CH:5]=[CH2:6].[Cl:7]>>[H:4][Cl:7].[CH2:6]=[CH:5][C:2](=[CH2:1])[CH2:3] 3,4-4,7;3,4-3;7-4,7",Room Temperature,Propagation,abstraction,True,True,True,C=CC(=C)C.[Cl]>>[CH2]C(=C)C=C.Cl,True,True,True,True,False
16,753,"[H:20][CH:21](CC)O.[OH:10]>>[H:20][OH:10].CC[CH:21]O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCO.[OH]>>CC[CH]O.O,True,True,False,True,False
17,755,"[H:20][CH2:21]CCO.[OH:10]>>[H:20][OH:10].[CH2:21]CCO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCO.[OH]>>[CH2]CCO.O,True,True,False,True,False
18,757,"[H:20][CH:21](C)CO.[OH:10]>>[H:20][OH:10].C[CH:21]CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCO.[OH]>>C[CH]CO.O,True,True,False,True,False
19,759,"[H:20][C:21](C)(C)O.[OH:10]>>[H:20][OH:10].C[C:21](C)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)O.[OH]>>C[C](C)O.O,True,True,False,True,False
20,761,"[H:20][CH2:21]C(C)O.[OH:10]>>[H:20][OH:10].CC([CH2:21])O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)O.[OH]>>[CH2]C(C)O.O,True,True,False,True,False
21,763,"[H:20][CH:21](CCC)O.[OH:10]>>[H:20][OH:10].CCC[CH:21]O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCO.[OH]>>CCC[CH]O.O,True,True,False,True,False
22,765,"[H:20][CH:21](CC)CO.[OH:10]>>[H:20][OH:10].CC[CH:21]CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCO.[OH]>>CC[CH]CO.O,True,True,False,True,False
23,767,"[H:20][CH:21](C)CCO.[OH:10]>>[H:20][OH:10].C[CH:21]CCO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCO.[OH]>>C[CH]CCO.O,True,True,False,True,False
24,769,"[H:20][CH:21](C)C(C)O.[OH:10]>>[H:20][OH:10].C[CH:21]C(C)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)O.[OH]>>C[CH]C(C)O.O,True,True,False,True,False
25,771,"[H:20][C:21](C)(CC)O.[OH:10]>>[H:20][OH:10].CC[C:21](C)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)O.[OH]>>CC[C](C)O.O,True,True,False,True,False
26,773,"[H:20][CH:21](C(C)C)O.[OH:10]>>[H:20][OH:10].CC(C)[CH:21]O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)CO.[OH]>>CC(C)[CH]O.O,True,True,False,True,False
27,775,"[H:20][C:21](C)(C)CO.[OH:10]>>[H:20][OH:10].C[C:21](C)CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)CO.[OH]>>C[C](C)CO.O,True,True,False,True,False
28,777,"[H:20][CH2:21]C(C)CO.[OH:10]>>[H:20][OH:10].CC([CH2:21])CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)CO.[OH]>>[CH2]C(C)CO.O,True,True,False,True,False
29,779,"[H:20][CH2:21]C(C)(C)O.[OH:10]>>[H:20][OH:10].CC(C)([CH2:21])O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)(C)O.[OH]>>[CH2]C(C)(C)O.O,True,True,False,True,False
30,781,"[H:20][CH:21](C(C)CC)O.[OH:10]>>[H:20][OH:10].CCC(C)[CH:21]O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)CO.[OH]>>CCC(C)[CH]O.O,True,True,False,True,False
31,783,"[H:20][C:21](C)(CC)CO.[OH:10]>>[H:20][OH:10].CC[C:21](C)CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)CO.[OH]>>CC[C](C)CO.O,True,True,False,True,False
