Col 1;Col 2;Col 3;Col 4;Col 5;Col 6;Col 7;Col 8
35;CC(NC1=CC=CC=C1)=O.[CH2]C(NC2=CC=CC=C2)=O;87.7;-6.9;5.3;0.5;18.4;17.04019658
36;CC(NC)=O.CC(N[CH2])=O;84.2;-10.4;3.7;5.3;19.7;12.97494771
37;CC(NC)=O.[CH2]C(NC)=O;89.1;-5.5;5.4;0.4;21.1;17.67825878
38;CCSCC.CCS[CH]C;83;-11.6;3.1;8.1;21.6;11.70049185
39;C1CCCC1.C2CC[CH]C2;85;-9.7;3.3;7.4;21.3;12.15709762
40;CC1CCCC1.C[C]2CCCC2;87.1;-7.5;3.5;6.4;23.6;14.25337384
41;CC1CCCCC1.C[C]2CCCCC2;84.2;-10.4;3.2;7.8;26.1;12.39645691
42;CC(C)(C)C1CCCCC1.CC(C)(C)[C]2CCCCC2;84.7;-10;3.1;8.6;31.7;15.75442357
43;C[C@@H]1[C@@H](C)CCCC1.C[C]2[C@@H](C)CCCC2;84.6;-10;3.2;7.7;28.6;13.10816181
44;C[C@H]1CCCC[C@H]1C.C[C@H]2CCCC[C]2C;83.6;-11;3;9;24.1;11.86103965
45;C[C@@H]1CC[C@@H](C)CC1.C[C]2CCC(C)CC2;84;-10.6;3.2;7.8;26.1;12.24363187
46;C[C@H]1CC[C@@H](C)CC1.CC2CC[C](C)CC2;82.3;-12.3;3.2;7.8;21.5;11.9116772
47;NCCCN.N[CH]CCN;80.1;-14.5;2.6;11.5;20.1;9.694479174
48;C(N(C)C)=O.C(N(C)[CH2])=O;83.6;-11;3.7;5.4;19.5;14.00710816
49;CC(N(C)C)=O.CC(N(C)[CH2])=O;83;-11.6;3.3;7;21.4;13.31758072
50;O=CN(CC)CC.O=CN([CH]C)CC;81;-13.6;3.2;7.9;21.6;12.46826037
51;CC(N(CC)CC)=O.CC(N(CC)[CH]C)=O;80.8;-13.8;3.1;8.4;21.8;12.39336517
52;CCC(N(C)C)=O.CCC(N(C)[CH2])=O;82.1;-12.5;3.3;7.3;21.4;12.71909808
53;O=C(N(C)C)C(C)C.O=C(N([CH2])C)C(C)C;82.5;-12.2;3.3;7.2;21.5;11.74575101
54;O=C(N(C)C)C(C)(C)C.O=C(N([CH2])C)C(C)(C)C;83.1;-11.5;3.3;7.2;20.3;13.30177124
55;O=C(N(C)C)CC(C)(C)C.O=C(N([CH2])C)CC(C)(C)C;82;-12.6;3.3;7.2;21;12.31580431
56;C1CCCCCCC1.C2CCCC[CH]CC2;83.8;-10.8;3.3;7;18.9;12.40164893
57;CC(N(C)CC)=O.CC(N(C)C[CH2])=O;83.7;-10.9;3.3;7;20.1;14.63644861
58;NCCCCC.N[CH]CCCC;81.5;-13.1;2.6;11.7;20.5;11.59865513
59;NCCCCO.N[CH]CCCO;81.4;-13.2;2.6;11.4;20.6;11.73348695
60;C1CCOC1.C2CCO[CH]2;83.7;-10.9;2.9;9.4;20.2;11.94163139
1;C.[CH3];96;1.2;4.8;2.2;14.1;17.99451818
2;CCC(C)CC.[CH2]CC(C)CC;90.5;-4.3;3.9;5.8;16.8;17.32763192
3;CCC(C)CC.C[CH]C(C)CC;86.7;-8.1;3.4;8.3;22.6;15.55095282
4;CCC(C)CC.CC[C](C)CC;84.7;-10.1;3.2;9.6;27.8;13.46349751
5;CCC(C)CC.CCC([CH2])CC;90.4;-4.4;3.9;5.7;23.7;16.23863601
6;CC(OCCCC)=O.CC(O[CH]CCC)=O;88.2;-6.6;3.6;7;24.3;15.94876278
7;CC(OCCCC)=O.CC(OC[CH]CC)=O;88.4;-6.4;3.8;6;24.4;18.59120802
8;CC(OCCCC)=O.CC(OCC[CH]C)=O;87.2;-7.6;3.7;6.6;22.7;17.42730561
9;CC(OCCCC)=O.CC(OCCC[CH2])=O;91.7;-3.1;4.2;4.5;16.9;FALSE
10;CCOCCCC.CCO[CH]CCC;84.4;-10.4;3;10.5;24.2;14.256571
11;CC=C.[CH2]C=C;77.5;-17.3;4.2;4.4;17.1;15.17135069
12;CCC=C.C[CH]C=C;73.4;-21.4;3.8;6.4;19.8;12.9760948
13;CC(C)C=C.C[C](C)C=C;71.2;-23.6;3.6;7.3;21.7;12.35059221
14;CC1=CC=CC=C1.[CH2]C2=CC=CC=C2;81.5;-13.3;4;5.3;17.2;14.85768981
15;CCC1=CC=CC=C1.C[CH]C2=CC=CC=C2;76.7;-18.1;3.7;6.7;21.3;12.8959304
16;CC(C)C1=CC=CC=C1.C[C](C)C2=CC=CC=C2;75.8;-19;3.5;7.8;25.1;13.08751297
17;CCCCCC(C)=C.CCCCCC([CH2])=C;78.1;-16.7;4;5;20.2;15.43064158
18;CCC(C)=O.CCC([CH2])=O;86.5;-8.3;5.7;0.4;20.5;19.11403618
19;CCC(C)=O.C[CH]C(C)=O;81.8;-13;5.1;1.4;21.6;16.31578021
20;CCCCCC(C)=O.CCCCCC([CH2])=O;86.2;-8.6;5.6;0.4;20.5;18.15332213
21;CC(OCCCC)=O.[CH2]C(OCCCC)=O;90;-4.8;5.6;0.5;19;20.0849002
