Col 1;Col 2;Col 3;Col 4;Col 5;Col 6;Col 7;Col 8
20;CCCCCC(C)=O.CCCCCC([CH2])=O;86.2;-8.5;5.6;3.3;20.5;16.4909628
21;CC(OCCCC)=O.[CH2]C(OCCCC)=O;90;-4.8;5.6;3.6;19;19.41453189
22;CC#N.[CH2]C#N;87.7;-7;5.9;2.3;17;19.68436119
23;CCC#N.C[CH]C#N;81.4;-13.3;5.2;4.9;19.8;16.72376901
24;CC(C)C#N.C[C](C)C#N;76.6;-18.2;4.8;7.2;22.2;14.90712756
25;CC.C[CH2];90.5;-4.3;4;12.2;16.5;14.40714491
26;CCC.C[CH]C;86.6;-8.2;3.4;16;19.2;12.06954366
27;CCC.[CH2]CC;91.3;-3.4;4;11.8;16.5;14.36222047
28;CCC1=CC=CC=C1.[CH2]CC2=CC=CC=C2;91.4;-3.4;4;12;16.8;14.99630301
29;O=C(OCC)C1=CC=CC=C1.O=C(OC[CH2])C2=CC=CC=C2;94;-0.8;4.9;6.5;16.8;17.04579647
30;O=C(OCC)C1=CC=CC=C1.O=C(O[CH]C)C2=CC=CC=C2;87.7;-7.1;3.8;13.3;20.5;12.86127114
31;O=C(OCC)CC1=CC=CC=C1.O=C(OCC)[CH]C2=CC=CC=C2;77.8;-17.0;4.7;7.7;21.7;13.01833689
32;COCC1=CC=CC=C1.CO[CH]C2=CC=CC=C2;72.5;-22.2;3.2;17.7;23.4;8.07920129
33;COCC1=CC=CC=C1.[CH2]OCC2=CC=CC=C2;85.3;-9.4;3.5;15.7;18;13.79564796
34;O=C(NC)C1=CC=CC=C1.O=C(N[CH2])C2=CC=CC=C2;82.9;-11.8;3.7;14.3;17.9;12.11619024
35;CC(NC1=CC=CC=C1)=O.[CH2]C(NC2=CC=CC=C2)=O;87.7;-7.1;5.3;4.8;18.4;16.29245315
36;CC(NC)=O.CC(N[CH2])=O;84.2;-10.6;3.7;14.1;19.7;11.17040215
37;CC(NC)=O.[CH2]C(NC)=O;89.1;-5.6;5.4;4.3;21.1;18.62114213
38;CCSCC.CCS[CH]C;83;-11.7;3.1;18.6;21.6;10.15421747
39;C1CCCC1.C2CC[CH]C2;85;-9.8;3.3;17.4;21.3;10.73717364
40;CC1CCCC1.C[C]2CCCC2;87.1;-7.7;3.5;15.9;23.6;11.84059098
41;CC1CCCCC1.C[C]2CCCCC2;84.2;-10.6;3.2;18.1;26.1;10.62444962
42;CC(C)(C)C1CCCCC1.CC(C)(C)[C]2CCCCC2;84.7;-10.1;3.1;19.3;31.7;12.12148203
43;C[C@@H]1[C@@H](C)CCCC1.C[C]2[C@@H](C)CCCC2;84.6;-10.1;3.2;18;28.6;10.64640055
44;C[C@H]1CCCC[C@H]1C.C[C@H]2CCCC[C]2C;83.6;-11.2;3;19.9;24.1;9.333480201
45;C[C@@H]1CC[C@@H](C)CC1.C[C]2CCC(C)CC2;84;-10.7;3.2;18.1;26.1;10.18100776
46;C[C@H]1CC[C@@H](C)CC1.CC2CC[C](C)CC2;82.3;-12.4;3.2;18.1;21.5;9.59856929
47;NCCCN.N[CH]CCN;80.1;-14.6;2.6;23.6;20.1;9.586627775
48;C(N(C)C)=O.C(N(C)[CH2])=O;83.6;-11.2;3.7;14.3;19.5;12.10036569
49;CC(N(C)C)=O.CC(N(C)[CH2])=O;83;-11.8;3.3;16.8;21.4;11.07372419
50;O=CN(CC)CC.O=CN([CH]C)CC;81;-13.7;3.2;18.2;21.6;11.08599829
51;CC(N(CC)CC)=O.CC(N(CC)[CH]C)=O;80.8;-14;3.1;18.9;21.8;10.54577493
52;CCC(N(C)C)=O.CCC(N(C)[CH2])=O;82.1;-12.6;3.3;17.3;21.4;9.975570396
53;O=C(N(C)C)C(C)C.O=C(N([CH2])C)C(C)C;82.5;-12.3;3.3;17.2;21.5;9.162635583
54;O=C(N(C)C)C(C)(C)C.O=C(N([CH2])C)C(C)(C)C;83.1;-11.6;3.3;17.2;20.3;11.38522078
55;O=C(N(C)C)CC(C)(C)C.O=C(N([CH2])C)CC(C)(C)C;82;-12.7;3.3;17.1;21;10.572825
56;C1CCCCCCC1.C2CCCC[CH]CC2;83.8;-10.9;3.3;16.8;18.9;10.67131207
57;CC(N(C)CC)=O.CC(N(C)C[CH2])=O;83.7;-11.1;3.3;16.8;20.1;11.80377434
58;NCCCCC.N[CH]CCCC;81.5;-13.3;2.6;23.8;20.5;10.68786327
59;NCCCCO.N[CH]CCCO;81.4;-13.3;2.6;23.4;20.6;11.40167033
60;C1CCOC1.C2CCO[CH]2;83.7;-11;2.9;20.5;20.2;10.0229474
