Species, E_opt, G_cont, H_cont, E_sp
r0_C6H13NO,-366.002728492,0.15735446623448532,0.1993113622426096,-366.422286382
r1_C4H7N2O,-340.826449302,0.08450918419150469,0.12023118310653497,-341.22198982
p0_C6H12NO,-365.343626749,0.14163962104367497,0.1851387936250458,-365.760805295
p1_C4H8N2O,-341.495944547,0.10014192440642064,0.1350800629230681,-341.892725248
TS_ts_guess_3iwCru_template_11-21_1-11,-706.815144934,0.2585913495143162,0.31694070216013254,-707.626953763
