;ID;Check Freq;RXN_SMILES;dG_act;dG_rxn;time;frequency
1407;753508;TRUE;CC(C)OCC(C)(C)N.CC(C)NNC(=O)[C@H](C)[O]>>C[C](C)OCC(C)(C)N.CC(C)NNC(=O)[C@H](C)O;11.102669252325144;-12.151948787059942;16.179435104926426;-488.9216
97;772943;FALSE;NCC(N)=O.Cc1ccc(C)c(N)c1[NH]>>[NH]C(=O)CN.Cc1ccc(C)c(N)c1N;11.030539645224676;23.51763325475704;10.2112936076853;-100.4154
1054;778448;FALSE;CC(C)[C@@H]1COC(=O)N1.CN1C[C]=CC=C1CCO>>CC(C)[C@@H]1COC(=O)[N]1.CN1CC=CC=C1CCO;2.761967408849959;-6.573810582694623;10.398941636151738;-212.6257
954;788505;TRUE;CCN1CC[C@H](CO)C1.O=C1[C]=C[C@H](C(=O)O)N=N1>>CCN1CC[C](CO)C1.O=C1C=C[C@H](C(=O)O)N=N1;12.112153225847818;-14.50291968612823;5.57631318781111;-135.8629
1152;808347;FALSE;C[C@@H]1C(=O)CC(=O)[C@@H]1O.[O]C1(C2CC2)CC1>>C[C@@H]1C(=O)CC(=O)[C@@H]1[O].OC1(C2CC2)CC1;2.1716983753856;14.501812772029757;3.819766052895122;-419.1514
1151;810145;TRUE;O[C@@H]1CCC[C@H](O)O1.[CH2]NCCCCCCNC>>[O][C@@H]1CCC[C@H](O)O1.CNCCCCCCNC;23.12233075095192;14.353418450370642;17.49959952559736;-310.3173
1490;819270;TRUE;CCOc1cc(=O)cc[nH]1.CC1(O)CC2([CH]NC2)C1>>CCOc1[c]c(=O)cc[nH]1.CC1(O)CC2(CNC2)C1;26.153819628225527;22.25475271594281;6.64760688053237;-302.5804
204;821839;TRUE;O=NC=C1C=CNC=C1.CCc1ncc([C]=O)o1>>O=NC=C1C=[C]NC=C1.CCc1ncc(C=O)o1;32.921061267905955;11.610882513641643;3.132815589706103;-436.7699
498;868635;TRUE;C1CN[C@@H]2N[C@@H]2C1.CC(C)[C@@H]1[N]C(=O)C1(C)C>>C1CN[C@@H]2[N][C@@H]2C1.CC(C)[C@@H]1NC(=O)C1(C)C;9.517092626717496;-12.060997953816006;6.020591672791375;-373.4189
921;884390;FALSE;CC(C)(C)[C@](C)(O)CN.CC[C@]1(O)C[CH]NC1>>CC(C)(C)[C@](C)([O])CN.CC[C@]1(O)CCNC1;22.09373385000616;14.242820864967564;9.48265706817309;-454.9912
738;886214;TRUE;CC[C@@H]1COC[C@H](O)[C@@H]1O.C[C@@H]1CCNC[CH]N1>>CC[C@@H]1COC[C@H]([O])[C@@H]1O.C[C@@H]1CCNCCN1;27.768808038548613;14.80041958711046;10.596299523446294;-375.75
151;921375;FALSE;C[C@@H]1NNC[C@@H](O)[C@H]1O.[O][C@H]1OC[C@@H](O)[C@H]1O>>C[C]1NNC[C@@H](O)[C@H]1O.O[C@@H]1CO[C@H](O)[C@@H]1O;23.863909094684235;5.2555585144806365;4.72680350681146;-283.4032
184;948657;TRUE;C[C@]1(O)C=C[C@](C)(OO)O1.C[C](C)O/C=C\OC(C)C>>C[C@]1(OO)[C]=C[C@](C)(O)O1.CC(C)O/C=C\OC(C)C;32.28913244510489;22.232323652045995;7.521056272917324;-278.7803
993;967562;TRUE;COC(=O)[C@@H]1NC(=O)[C@@H]1N.N[C]1C=NC=NC1=O>>COC(=O)[C@@H]1NC(=O)[C]1N.N[C@@H]1C=NC=NC1=O;42.0449734905257;30.102123344769065;3.5007772192690108;-457.0452
581;973190;TRUE;C1=C/N=C\COC=C1.O=C1OC=[C]/C1=N\O>>[C]1=COC/C=N\C=C1.O=C1OC=C/C1=N\O;12.020541121181784;-11.04907512515444;2.664495681921641;-382.1758
558;993134;FALSE;CCN(CC)/C(N)=N/N.COc1c(N[O])c(=O)c1=O>>CCN(CC)/C(N)=N/[NH].COc1c(NO)c(=O)c1=O;4.239185687815596;3.4368838575805585;7.925567396614286;-337.0902
314;1048554;TRUE;C[C@@H]1C[C@H](N)CC(=O)N1.C/C=C1/[C]=CC=CN1C>>C[C@@H]1C[C](N)CC(=O)N1.C/C=C1/C=CC=CN1C;9.366113888561411;-21.505533818034976;8.323086928592788;-459.9084
747;1535234;TRUE;CCC[C@H](O)N1CC1.[O][C@H]1CNC(=O)N1>>CCC[C](O)N1CC1.O=C1NC[C@H](O)N1;7.721074033835795;-11.998539939489987;4.247160750428836;-358.9799
1136;1946364;TRUE;C1=CN[C@@H]2C[C@@H]2N=C1.N[C@@H](CO)C1=NC=[C]C1>>C1=CN[C]2C[C@@H]2N=C1.N[C@@H](CO)C1=NC=CC1;11.332791261272387;-18.695735176689624;5.28654872947269;-480.7022
