,rxn_id,SMIRKS,condition,class_I,class_II,two_reacs,one_rad,not_spectator,rxn_smiles,HAT,elem_surrogate,no_paton_data,specific_rxn,formal_charges
167,1268,"[H:20][C:21](=O)OC.[OH:10]>>[H:20][OH:10].CO[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COC=O.[OH]>>CO[C]=O.O,True,True,False,True,False
168,1271,"[H:20][CH2:21]OC(=O)C.[OH:10]>>[H:20][OH:10].CC(=O)O[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COC(C)=O.[OH]>>[CH2]OC(C)=O.O,True,True,False,True,False
169,1272,"[H:20][CH2:21]C(=O)OC.[OH:10]>>[H:20][OH:10].COC(=O)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COC(C)=O.[OH]>>[CH2]C(=O)OC.O,True,True,False,True,False
170,1275,"[H:20][CH2:21]COC(=O)C.[OH:10]>>[H:20][OH:10].CC(=O)OC[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOC(C)=O.[OH]>>[CH2]COC(C)=O.O,True,True,False,True,False
171,1276,"[H:20][CH:21](C)OC(=O)C.[OH:10]>>[H:20][OH:10].C[CH:21]OC(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOC(C)=O.[OH]>>C[CH]OC(C)=O.O,True,True,False,True,False
172,1279,"[H:20][CH:21](C)CCOC(=O)C.[OH:10]>>[H:20][OH:10].C[CH:21]CCOC(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCOC(C)=O.[OH]>>C[CH]CCOC(C)=O.O,True,True,False,True,False
173,1280,"[H:20][CH:21](CC)COC(=O)C.[OH:10]>>[H:20][OH:10].CC[CH:21]COC(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCOC(C)=O.[OH]>>CC[CH]COC(C)=O.O,True,True,False,True,False
174,1281,"[H:20][CH:21](CCC)OC(=O)C.[OH:10]>>[H:20][OH:10].CCC[CH:21]OC(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCOC(C)=O.[OH]>>CCC[CH]OC(C)=O.O,True,True,False,True,False
175,1285,"[H:20][C:21](C)(CC)OC(=O)C.[OH:10]>>[H:20][OH:10].CC[C:21](C)OC(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)OC(C)=O.[OH]>>CC[C](C)OC(C)=O.O,True,True,False,True,False
176,1286,"[H:20][CH:21](C)C(C)OC(=O)C.[OH:10]>>[H:20][OH:10].C[CH:21]C(C)OC(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)OC(C)=O.[OH]>>C[CH]C(C)OC(C)=O.O,True,True,False,True,False
177,1289,"[H:20][CH2:21]C(C)(C)OC(=O)C.[OH:10]>>[H:20][OH:10].CC(=O)OC(C)(C)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(=O)OC(C)(C)C.[OH]>>[CH2]C(C)(C)OC(C)=O.O,True,True,False,True,False
178,1290,"[H:20][CH2:21]C(=O)OC(C)(C)C.[OH:10]>>[H:20][OH:10].CC(C)(C)OC(=O)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(=O)OC(C)(C)C.[OH]>>[CH2]C(=O)OC(C)(C)C.O,True,True,False,True,False
180,1294,"[H:20][CH2:21]OC.[OH:10]>>[H:20][OH:10].CO[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COC.[OH]>>[CH2]OC.O,True,True,False,True,False
182,1297,"[H:20][CH:21](C)OCC.[OH:10]>>[H:20][OH:10].CCO[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOCC.[OH]>>C[CH]OCC.O,True,True,False,True,False
183,1299,"[H:20][CH2:21]COCC.[OH:10]>>[H:20][OH:10].CCOC[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOCC.[OH]>>[CH2]COCC.O,True,True,False,True,False
185,1302,"[H:20][CH2:21]OC(C)(C)C.[OH:10]>>[H:20][OH:10].CC(C)(C)O[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COC(C)(C)C.[OH]>>[CH2]OC(C)(C)C.O,True,True,False,True,False
187,1305,"[H:20][CH2:21]C(C)(C)OC.[OH:10]>>[H:20][OH:10].CC(C)([CH2:21])OC 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COC(C)(C)C.[OH]>>[CH2]C(C)(C)OC.O,True,True,False,True,False
189,1308,"[H:20][C:21](C)(C)OC(C)C.[OH:10]>>[H:20][OH:10].CC(C)O[C:21](C)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)OC(C)C.[OH]>>C[C](C)OC(C)C.O,True,True,False,True,False
190,1310,"[H:20][CH2:21]C(C)OC(C)C.[OH:10]>>[H:20][OH:10].CC(C)OC(C)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)OC(C)C.[OH]>>[CH2]C(C)OC(C)C.O,True,True,False,True,False
193,1316,"[H:20][CH2:21]C(C)(C)OCC.[OH:10]>>[H:20][OH:10].CCOC(C)(C)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOC(C)(C)C.[OH]>>[CH2]C(C)(C)OCC.O,True,True,False,True,False
194,1317,"[H:20][CH:21](C)OC(C)(C)C.[OH:10]>>[H:20][OH:10].C[CH:21]OC(C)(C)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOC(C)(C)C.[OH]>>C[CH]OC(C)(C)C.O,True,True,False,True,False
195,1318,"[H:20][CH2:21]COC(C)(C)C.[OH:10]>>[H:20][OH:10].CC(C)(C)OC[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOC(C)(C)C.[OH]>>[CH2]COC(C)(C)C.O,True,True,False,True,False
198,1324,"[H:20][CH2:21]OCCO.[OH:10]>>[H:20][OH:10].[CH2:21]OCCO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COCCO.[OH]>>[CH2]OCCO.O,True,True,False,True,False
199,1325,"[H:20][CH:21](CO)OC.[OH:10]>>[H:20][OH:10].CO[CH:21]CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COCCO.[OH]>>CO[CH]CO.O,True,True,False,True,False
200,1326,"[H:20][CH:21](COC)O.[OH:10]>>[H:20][OH:10].COC[CH:21]O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COCCO.[OH]>>COC[CH]O.O,True,True,False,True,False
203,1332,"[H:20][CH:21](C)OCCO.[OH:10]>>[H:20][OH:10].C[CH:21]OCCO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOCCO.[OH]>>C[CH]OCCO.O,True,True,False,True,False
204,1333,"[H:20][CH:21](CO)OCC.[OH:10]>>[H:20][OH:10].CCO[CH:21]CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOCCO.[OH]>>CCO[CH]CO.O,True,True,False,True,False
205,1334,"[H:20][CH:21](COCC)O.[OH:10]>>[H:20][OH:10].CCOC[CH:21]O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOCCO.[OH]>>CCOC[CH]O.O,True,True,False,True,False
207,1338,"[H:20][CH:21](C(C)O)OC.[OH:10]>>[H:20][OH:10].CC([CH:21]OC)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COCC(C)O.[OH]>>CO[CH]C(C)O.O,True,True,False,True,False
208,1339,"[H:20][CH2:21]OCC(C)O.[OH:10]>>[H:20][OH:10].CC(CO[CH2:21])O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COCC(C)O.[OH]>>[CH2]OCC(C)O.O,True,True,False,True,False
209,1341,"[H:20][C:21](C)(COC)O.[OH:10]>>[H:20][OH:10].C[C:21](COC)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COCC(C)O.[OH]>>COC[C](C)O.O,True,True,False,True,False
211,1345,"[H:20][CH:21](CCC)OCCO.[OH:10]>>[H:20][OH:10].CCC[CH:21]OCCO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCOCCO.[OH]>>CCC[CH]OCCO.O,True,True,False,True,False
213,1349,"[H:20][CH:21](CO)OCCCC.[OH:10]>>[H:20][OH:10].CCCCO[CH:21]CO 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCOCCO.[OH]>>CCCCO[CH]CO.O,True,True,False,True,False
216,1354,"[H:20][CH2:21]C(=O)C.[OH:10]>>[H:20][OH:10].CC(=O)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)=O.[OH]>>[CH2]C(C)=O.O,True,True,False,True,False
217,1356,"[H:20][CH2:21]CC(=O)C.[OH:10]>>[H:20][OH:10].CC(=O)C[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)=O.[OH]>>[CH2]CC(C)=O.O,True,True,False,True,False
218,1358,"[H:20][CH:21](C)C(=O)C.[OH:10]>>[H:20][OH:10].C[CH:21]C(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)=O.[OH]>>C[CH]C(C)=O.O,True,True,False,True,False
219,1360,"[H:20][CH2:21]C(=O)CC.[OH:10]>>[H:20][OH:10].CCC(=O)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(C)=O.[OH]>>[CH2]C(=O)CC.O,True,True,False,True,False
220,1362,"[H:20][CH:21](C)CC(=O)C.[OH:10]>>[H:20][OH:10].C[CH:21]CC(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC(C)=O.[OH]>>C[CH]CC(C)=O.O,True,True,False,True,False
221,1363,"[H:20][CH:21](CC)C(=O)C.[OH:10]>>[H:20][OH:10].CC[CH:21]C(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC(C)=O.[OH]>>CC[CH]C(C)=O.O,True,True,False,True,False
222,1366,"[H:20][CH:21](C)C(=O)CC.[OH:10]>>[H:20][OH:10].CCC(=O)[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(=O)CC.[OH]>>C[CH]C(=O)CC.O,True,True,False,True,False
223,1368,"[H:20][CH2:21]CC(=O)CC.[OH:10]>>[H:20][OH:10].CCC(=O)C[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(=O)CC.[OH]>>[CH2]CC(=O)CC.O,True,True,False,True,False
224,1370,"[H:20][C:21](C)(C)C(=O)C.[OH:10]>>[H:20][OH:10].C[C:21](C)C(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(=O)C(C)C.[OH]>>C[C](C)C(C)=O.O,True,True,False,True,False
225,1371,"[H:20][CH2:21]C(C)C(=O)C.[OH:10]>>[H:20][OH:10].CC([CH2:21])C(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(=O)C(C)C.[OH]>>[CH2]C(C)C(C)=O.O,True,True,False,True,False
226,1374,"[H:20][CH:21](CC)CC(=O)C.[OH:10]>>[H:20][OH:10].CC[CH:21]CC(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC(C)=O.[OH]>>CC[CH]CC(C)=O.O,True,True,False,True,False
227,1375,"[H:20][CH:21](CCC)C(=O)C.[OH:10]>>[H:20][OH:10].CCC[CH:21]C(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC(C)=O.[OH]>>CCC[CH]C(C)=O.O,True,True,False,True,False
228,1376,"[H:20][CH:21](C)CCC(=O)C.[OH:10]>>[H:20][OH:10].C[CH:21]CCC(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCC(C)=O.[OH]>>C[CH]CCC(C)=O.O,True,True,False,True,False
229,1380,"[H:20][CH:21](C)C(=O)CCC.[OH:10]>>[H:20][OH:10].CCCC(=O)[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC(=O)CC.[OH]>>C[CH]C(=O)CCC.O,True,True,False,True,False
230,1381,"[H:20][CH:21](CC)C(=O)CC.[OH:10]>>[H:20][OH:10].CC[CH:21]C(=O)CC 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC(=O)CC.[OH]>>CC[CH]C(=O)CC.O,True,True,False,True,False
231,1382,"[H:20][CH:21](C)CC(=O)CC.[OH:10]>>[H:20][OH:10].CCC(=O)C[CH:21]C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC(=O)CC.[OH]>>C[CH]CC(=O)CC.O,True,True,False,True,False
232,1383,"[H:20][CH2:21]CCC(=O)CC.[OH:10]>>[H:20][OH:10].CCC(=O)CC[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCC(=O)CC.[OH]>>[CH2]CCC(=O)CC.O,True,True,False,True,False
233,1388,"[H:20][C:21](C)(C)CC(=O)C.[OH:10]>>[H:20][OH:10].C[C:21](C)CC(=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(=O)CC(C)C.[OH]>>C[C](C)CC(C)=O.O,True,True,False,True,False
234,1390,"[H:20][CH2:21]C(C)(C)C(=O)C.[OH:10]>>[H:20][OH:10].CC(=O)C(C)(C)[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(=O)C(C)(C)C.[OH]>>[CH2]C(C)(C)C(C)=O.O,True,True,False,True,False
235,1392,"[H:20][CH:21]1CCCC(=O)C1.[OH:10]>>[H:20][OH:10].C1C[CH:21]CC(=O)C1 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,O=C1CCCCC1.[OH]>>O=C1C[CH]CCC1.O,True,True,False,True,False
236,1431,"[H:20][O:21]C=O.[OH:10]>>[H:20][OH:10].C(=O)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,O=CO.[OH]>>[O]C=O.O,True,True,False,True,False
237,1433,"[H:20][O:21]C(=O)C.[OH:10]>>[H:20][OH:10].CC(=O)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(=O)O.[OH]>>CC([O])=O.O,True,True,False,True,False
238,1435,"[H:20][O:21]C(=O)CC.[OH:10]>>[H:20][OH:10].CCC(=O)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(=O)O.[OH]>>CCC([O])=O.O,True,True,False,True,False
240,1439,"[H:20][CH2:21]OCOC.[OH:10]>>[H:20][OH:10].COCO[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COCOC.[OH]>>[CH2]OCOC.O,True,True,False,True,False
241,1440,"[H:20][CH:21](OC)OC.[OH:10]>>[H:20][OH:10].CO[CH:21]OC 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COCOC.[OH]>>CO[CH]OC.O,True,True,False,True,False
242,1442,"[H:20][CH2:21]OC(=O)OC.[OH:10]>>[H:20][OH:10].COC(=O)O[CH2:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COC(=O)OC.[OH]>>[CH2]OC(=O)OC.O,True,True,False,True,False
245,1449,"[H:20][CH:21]1CO1.[OH:10]>>[H:20][OH:10].C1[CH:21]O1 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,C1CO1.[OH]>>[CH]1CO1.O,True,True,False,True,False
247,1601,"[H:20][CH:21](C=O)O.[OH:10]>>[H:20][OH:10].[CH:21](C=O)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,O=CCO.[OH]>>O=C[CH]O.O,True,True,False,True,False
248,1603,"[H:20][C:21](=O)CO.[OH:10]>>[H:20][OH:10].C([C:21]=O)O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,O=CCO.[OH]>>O=[C]CO.O,True,True,False,True,False
249,1789,"[H:20][O:21]O.CC(=O)OCCO[O:10]>>[H:20][O:10]OCCOC(=O)C.O[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,OO.CC(=O)OCCO[O]>>[O]O.CC(=O)OCCOO,True,True,False,True,False
250,1802,"[H:20][O:21]O.CC(COC(=O)C)O[O:10]>>[H:20][O:10]OC(C)COC(=O)C.O[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,OO.CC(=O)OCC(C)O[O]>>[O]O.CC(=O)OCC(C)OO,True,True,False,True,False
251,1810,"[H:20][O:21]O.CCC(OC(=O)C)O[O:10]>>[H:20][O:10]OC(CC)OC(=O)C.O[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,OO.CCC(O[O])OC(C)=O>>[O]O.CCC(OO)OC(C)=O,True,True,False,True,False
252,1813,"[H:20][O:21]O.CC(=O)OCCCO[O:10]>>[H:20][O:10]OCCCOC(=O)C.O[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,OO.CC(=O)OCCCO[O]>>[O]O.CC(=O)OCCCOO,True,True,False,True,False
253,1818,"[H:20][O:21]O.CC(CO[O:10])OC(=O)C>>[H:20][O:10]OCC(C)OC(=O)C.O[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,OO.CC(=O)OC(C)CO[O]>>[O]O.CC(=O)OC(C)COO,True,True,False,True,False
254,1836,"[H:20][O:21]O.CCC(COC(=O)C)O[O:10]>>[H:20][O:10]OC(CC)COC(=O)C.O[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,OO.CCC(COC(C)=O)O[O]>>[O]O.CCC(COC(C)=O)OO,True,True,False,True,False
256,2339,"[H:20][C:21](=O)C=O.[OH:10]>>[H:20][OH:10].C(=O)[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,O=CC=O.[OH]>>O=[C]C=O.O,True,True,False,True,False
258,2344,"[H:20][O:21]C1=CC=CC=C1.[OH:10]>>[H:20][OH:10].C1=CC=C(C=C1)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,Oc1ccccc1.[OH]>>[O]c1ccccc1.O,True,True,False,True,False
260,2366,"[H:20][O:21]C1=C(C=CC=C1)C.[OH:10]>>[H:20][OH:10].CC1=C(C=CC=C1)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,Cc1ccccc1O.[OH]>>Cc1ccccc1[O].O,True,True,False,True,False
261,2396,"[H:4][C:3](=[O:5])[C:2]1([C:6]([O:8]1)([CH3:7])[CH:9]=[CH:10][CH:11]=[O:12])[CH3:1].[OH:13]>>[H:4][OH:13].[CH3:7][C:6]1([C:2]([O:8]1)([CH3:1])[C:3]=[O:5])[CH:9]=[CH:10][CH:11]=[O:12] 13-13,4; 3,4-13,4; 3,4-3",Room Temperature,Propagation,abstraction,True,True,True,CC1(C=O)OC1(C)C=CC=O.[OH]>>CC1([C]=O)OC1(C)C=CC=O.O,True,True,False,True,False
263,2404,"[H:20][O:21]C1=CC=CC(=C1C)C.[OH:10]>>[H:20][OH:10].CC1=C(C(=CC=C1)[O:21])C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,Cc1cccc(O)c1C.[OH]>>Cc1cccc([O])c1C.O,True,True,False,True,False
264,2415,"[H:20][O:21]C1=C(C=C(C=C1)C)C.[OH:10]>>[H:20][OH:10].CC1=CC(=C(C=C1)[O:21])C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,Cc1ccc(O)c(C)c1.[OH]>>Cc1ccc([O])c(C)c1.O,True,True,False,True,False
267,2450,"[H:20][O:21]C1=C(C=CC(=C1)C)C.[OH:10]>>[H:20][OH:10].CC1=CC(=C(C=C1)C)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,Cc1ccc(C)c(O)c1.[OH]>>Cc1ccc(C)c([O])c1.O,True,True,False,True,False
269,2464,"[H:20][O:21]C1=C(C=CC=C1)CC.[OH:10]>>[H:20][OH:10].CCC1=C(C=CC=C1)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCc1ccccc1O.[OH]>>CCc1ccccc1[O].O,True,True,False,True,False
271,2489,"[H:20][O:21]C1=C(C=CC=C1)CCC.[OH:10]>>[H:20][OH:10].CCCC1=C(C=CC=C1)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCc1ccccc1O.[OH]>>CCCc1ccccc1[O].O,True,True,False,True,False
273,2514,"[H:20][O:21]C1=C(C=CC=C1)C(C)C.[OH:10]>>[H:20][OH:10].CC(C)C1=C(C=CC=C1)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(C)c1ccccc1O.[OH]>>CC(C)c1ccccc1[O].O,True,True,False,True,False
275,2547,"[H:20][O:21]C1=C(C(=C(C=C1)C)C)C.[OH:10]>>[H:20][OH:10].CC1=C(C(=C(C=C1)[O:21])C)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,Cc1ccc(O)c(C)c1C.[OH]>>Cc1ccc([O])c(C)c1C.O,True,True,False,True,False
277,2575,"[H:20][O:21]C1=C(C=CC(=C1C)C)C.[OH:10]>>[H:20][OH:10].CC1=C(C(=C(C=C1)C)[O:21])C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,Cc1ccc(C)c(O)c1C.[OH]>>Cc1ccc(C)c([O])c1C.O,True,True,False,True,False
279,2584,"[H:20][C:21](=O)C1(C(O1)(C)C=CC(=O)C)C.[OH:10]>>[H:20][OH:10].CC(=O)C=CC1(C(O1)(C)[C:21]=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CC(=O)C=CC1(C)OC1(C)C=O.[OH]>>CC(=O)C=CC1(C)OC1(C)[C]=O.O,True,True,False,True,False
281,2605,"[H:20][O:21]C1=C(C=C(C=C1C)C)C.[OH:10]>>[H:20][OH:10].CC1=CC(=C(C(=C1)C)[O:21])C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,Cc1cc(C)c(O)c(C)c1.[OH]>>Cc1cc(C)c([O])c(C)c1.O,True,True,False,True,False
282,2633,"[H:20][C:21](=O)C=CC1(C(O1)(CC)C=O)C.[OH:10]>>[H:20][OH:10].CCC1(C(O1)(C)C=C[C:21]=O)C=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC1(C=O)OC1(C)C=CC=O.[OH]>>CCC1(C=O)OC1(C)C=C[C]=O.O,True,True,False,True,False
283,2644,"[H:20][O:21]C1=C(C(=CC=C1)C)CC.[OH:10]>>[H:20][OH:10].CCC1=C(C=CC=C1C)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCc1c(C)cccc1O.[OH]>>CCc1c(C)cccc1[O].O,True,True,False,True,False
284,2660,"[H:20][O:21]C1=C(C=CC=C1C)CC.[OH:10]>>[H:20][OH:10].CCC1=C(C(=CC=C1)C)[O:21] 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCc1cccc(C)c1O.[OH]>>CCc1cccc(C)c1[O].O,True,True,False,True,False
287,2672,"[H:20][C:21](=O)C1C(O1)(C)C=CC(=O)CC.[OH:10]>>[H:20][OH:10].CCC(=O)C=CC1(C(O1)[C:21]=O)C 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(=O)C=CC1(C)OC1C=O.[OH]>>CCC(=O)C=CC1(C)OC1[C]=O.O,True,True,False,True,False
290,2694,"[H:20][C:21](=O)C1(C(O1)C(=CC(=O)CC)C)C.[OH:10]>>[H:20][OH:10].CCC(=O)C=C(C)C1C(O1)(C)[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(=O)C=C(C)C1OC1(C)C=O.[OH]>>CCC(=O)C=C(C)C1OC1(C)[C]=O.O,True,True,False,True,False
292,2707,"[H:20][C:21](=O)C1(C(O1)C(=CC(=O)CC)C)CC.[OH:10]>>[H:20][OH:10].CCC(=O)C=C(C)C1C(O1)(CC)[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCC(=O)C=C(C)C1OC1(C=O)CC.[OH]>>CCC(=O)C=C(C)C1OC1([C]=O)CC.O,True,True,False,True,False
293,2933,"[H:20][C:21](=O)CC(=C)C.[OH:10]>>[H:20][OH:10].CC(=C)C[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,C=C(C)CC=O.[OH]>>C=C(C)C[C]=O.O,True,True,False,True,False
295,3047,"[H:20][C:21](=O)COC.[OH:10]>>[H:20][OH:10].COC[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COCC=O.[OH]>>COC[C]=O.O,True,True,False,True,False
297,3069,"[H:20][C:21](=O)COCC.[OH:10]>>[H:20][OH:10].CCOC[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCOCC=O.[OH]>>CCOC[C]=O.O,True,True,False,True,False
298,3089,"[H:20][CH:21](C(=O)C)OC.[OH:10]>>[H:20][OH:10].CC(=O)[CH:21]OC 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,COCC(C)=O.[OH]>>CO[CH]C(C)=O.O,True,True,False,True,False
299,3110,"[H:20][C:21](=O)COCCCC.[OH:10]>>[H:20][OH:10].CCCCOC[C:21]=O 10-10,20;20,21-10,20;20,21-21",Room Temperature,Propagation,abstraction,True,True,True,CCCCOCC=O.[OH]>>CCCCOC[C]=O.O,True,True,False,True,False
